Date,HPG,VCB
2019-10-01,13172.486698002638,63479.02213588685
2019-10-02,13082.264186372484,62413.4270400806
2019-10-03,12961.967504198943,62413.4270400806
2019-10-04,12841.670822025404,63174.56639422792
2019-10-07,12811.59665148202,63022.33852339846
2019-10-08,13172.486698002638,64772.959037937304
2019-10-09,13172.486698002638,64316.275425448905
2019-10-10,12931.893333655558,64392.38936086364
2019-10-11,12931.893333655558,64925.186908766766
2019-10-14,12901.819163112174,64696.84510252257
2019-10-15,12841.670822025404,64849.072973352035
2019-10-16,12811.59665148202,65534.09839208463
2019-10-17,12871.744992568789,64849.072973352035
2019-10-18,12871.744992568789,64696.84510252257
2019-10-21,12751.448310395248,64087.93361920471
2019-10-22,12992.04167474233,65001.300844181496
2019-10-23,13142.412527459253,64925.186908766766
2019-10-24,13232.63503908941,66143.00987540248
2019-10-25,13112.338356915869,66980.26316496455
2019-10-28,13352.931721262948,66523.57955247615
2019-10-29,13352.931721262948,65762.44019832883
2019-10-30,13232.63503908941,66828.03529413507
2019-10-31,13112.338356915869,66751.92135872034
2019-11-01,13172.486698002638,67589.17464828241
2019-11-04,13082.264186372484,70024.82058155384
2019-11-05,13172.486698002638,69111.45335657705
2019-11-06,13232.63503908941,69263.68122740652
2019-11-07,13653.6734266968,69492.02303365071
2019-11-08,13653.6734266968,69644.25090448018
2019-11-11,13713.82176778357,69492.02303365071
2019-11-12,13834.11844995711,69796.47877530965
2019-11-13,13623.599256153415,68883.11155033285
2019-11-14,13623.599256153415,69187.56729199179
2019-11-15,13623.599256153415,68274.200067015
2019-11-18,13773.970108870339,66675.80742330561
2019-11-19,13713.82176778357,69263.68122740652
2019-11-20,13473.22840343649,68121.97219618552
2019-11-21,13232.63503908941,66599.69348789088
2019-11-22,13292.783380176179,65077.414779596234
2019-11-25,13383.005891806333,64316.275425448905
2019-11-26,13623.599256153415,64468.50329627837
2019-11-27,13593.525085610028,65686.3262629141
2019-11-28,13593.525085610028,64925.186908766766
2019-11-29,13743.895938326954,64925.186908766766
2019-12-02,13804.044279413725,63555.13607130158
2019-12-03,14104.785984847575,62413.4270400806
2019-12-04,14104.785984847575,64468.50329627837
2019-12-05,13894.26679104388,64544.617231693104
2019-12-06,14345.379349194654,64620.731167107835
2019-12-09,14555.89854299835,64849.072973352035
2019-12-10,14676.19522517189,65001.300844181496
2019-12-11,14676.19522517189,65381.870521255165
2019-12-12,14555.89854299835,66599.69348789088
2019-12-13,14315.30517865127,67284.71890662347
2019-12-16,14285.231008107885,65457.984456669896
2019-12-17,13924.340961587264,64925.186908766766
2019-12-18,13563.450915066644,65990.78200457302
2019-12-19,13713.82176778357,66980.26316496455
2019-12-20,13834.11844995711,67208.60497120874
2019-12-23,13864.192620500495,69187.56729199179
2019-12-24,13954.415132130649,68502.5418732592
2019-12-25,13924.340961587264,68426.42793784446
2019-12-26,13834.11844995711,68045.8582607708
2019-12-27,14164.934325934344,68883.11155033285
2019-12-30,14225.082667021115,69881.41751384207
2019-12-31,14134.86015539096,69267.07538185225
2020-01-02,14435.60186082481,69727.83198084461
2020-01-03,14525.824372454965,69036.69708235607
2020-01-06,14435.60186082481,67193.6706863866
2020-01-07,14255.1568375645,67424.04898588278
2020-01-08,14104.785984847575,66809.70685389296
2020-01-09,14435.60186082481,68115.18388437133
2020-01-10,14555.89854299835,68729.52601636115
2020-01-13,14585.972713541734,68652.73324986243
2020-01-14,15037.085271692511,68652.73324986243
2020-01-15,15127.307783322665,68575.9404833637
2020-01-16,15217.53029495282,68729.52601636115
2020-01-17,15037.085271692511,72569.16434129752
2020-01-20,15337.82697712636,72185.20050880389
2020-01-21,15548.346170930055,72185.20050880389
2020-01-22,15819.01370582052,71724.44390981153
2020-01-30,15217.53029495282,68268.76941736879
2020-01-31,14495.75020191158,68115.18388437133
2020-02-03,14766.417736802045,68115.18388437133
2020-02-04,14796.49190734543,68959.90431585733
2020-02-05,14706.269395715275,68268.76941736879
2020-02-06,15157.38195386605,68652.73324986243
2020-02-07,14646.121054628506,69113.48984885479
2020-02-10,14646.121054628506,68268.76941736879
2020-02-11,14195.008496477729,68499.14771686497
2020-02-12,14315.30517865127,68652.73324986243
2020-02-13,14255.1568375645,68575.9404833637
2020-02-14,14255.1568375645,68575.9404833637
2020-02-17,14285.231008107885,68652.73324986243
2020-02-18,14014.56347321742,68652.73324986243
2020-02-19,13984.489302674034,68729.52601636115
2020-02-20,14285.231008107885,68729.52601636115
2020-02-21,14164.934325934344,68345.56218386751
2020-02-24,13653.6734266968,66963.29238689042
2020-02-25,13894.26679104388,66195.36472190314
2020-02-26,13683.747597240184,65273.85152391841
2020-02-27,13804.044279413725,64505.923858931135
2020-02-28,13443.154232893105,63277.2395949515
2020-03-02,13413.08006234972,62816.48299595913
2020-03-03,13413.08006234972,63123.65406195404
2020-03-04,13443.154232893105,62739.69022946041
2020-03-05,13443.154232893105,63814.78896044259
